idlojista,lojista,cluster,mundo,qtd_pedidos_colocados,qtd_itens_colocados,qtd_itens_aprovados,qtd_pedidos_aprovados,valorcolocado,valoraprovado,status_lojista,taxa_aprovacao
10121,Delgrani,A,Cauda Longa,9,9,7,7,2034.1600,1664.3100,ativo,0.81818048
12006,BV MAGAZINE,A,Móveis,124,128,84,81,122521.3000,66149.1400,ativo,0.53989910
14465,Bright,Setup,Cauda Longa,45,46,25,24,7408.9400,3607.2500,ativo,0.48687801
15254,Natural Fitness,A,Cauda Longa,166,186,150,131,39274.2400,23743.3700,ativo,0.60455326
19962,CONCORDIA INFORMÁTICA,A,Tecnologia,16,17,12,11,21579.5000,13564.0500,ativo,0.62856183
20268,Olimar Metais Sanitarios,A,Cauda Longa,46,57,36,29,7177.8000,4676.2000,ativo,0.65148096
21859,GTEK,A,Cauda Longa,3,3,0,0,771.9000,0.0000,ativo,0E-8
22412,Pacifico Ar Condicionado,A,Linha Branca,19,19,17,17,19649.9700,17577.6300,ativo,0.89453724
26767,Rafarillo,A,Cauda Longa,3,3,1,1,717.7000,234.2000,ativo,0.32632019
30988,Singola,A,Cauda Longa,1,1,0,0,148.9000,0.0000,ativo,0E-8
32304,Aumenta Venda,A,Cauda Longa,161,180,130,118,30373.2700,21885.4100,inativo,0.72054836
34878,VJCOMPANY,A,Cauda Longa,8,21,16,6,2225.2300,1669.4600,ativo,0.75024155
35450,JAPINHA ELETRO,Setup,Setup,22,27,12,11,2579.4800,854.2600,ativo,0.33117528
35868,Acer Brasil,Setup,Setup,14,14,6,6,66758.9000,22864.0600,ativo,0.34248707
36783,VERSAILLES DECORACAO E UTILIDADES,Setup,Cauda Longa,49,49,30,30,8919.3500,5380.1200,ativo,0.60319642
37297,TCHIBOLA COSMÉTICOS,Setup,Cauda Longa,1,6,6,1,103.5000,103.5000,ativo,1.00000000
37482,LEBRAVE,Setup,Cauda Longa,5,5,2,2,1235.0600,474.0300,ativo,0.38381131
39153,LUZ SHOPPING,Setup,Cauda Longa,37,51,36,29,3575.9700,2758.5200,ativo,0.77140468
40199,ATUAL SHOP,Setup,Cauda Longa,1,1,0,0,449.8000,0.0000,ativo,0E-8
40893,Pherfumaria,Setup,Cauda Longa,12,14,10,8,6348.1000,3287.3000,ativo,0.51783998
10898,TETRIX,AAA,Tecnologia,2227,2494,1238,1108,3285895.1500,1460527.6000,ativo,0.44448393
11121,WebContinental,AAA,Cauda Longa,8260,8788,6066,5673,5678354.7000,3375971.4600,ativo,0.59453339
14332,EQUIPACASA,A,Cauda Longa,14,38,23,11,1341.2500,1043.8700,ativo,0.77828145
14801,Formalivre,A,Móveis,18,20,13,11,6649.0000,4729.0000,ativo,0.71123477
20298,SHmagazine,A,Cauda Longa,30,36,25,21,4039.1900,2658.7100,ativo,0.65822851
32246,Casa Decora Enxovais,A,Cauda Longa,36,96,79,26,5950.9800,4153.0600,ativo,0.69787833
33141,Pick Dental,A,Cauda Longa,5,5,2,2,1021.3000,362.5000,ativo,0.35493978
34270,EEMOVEIS,A,Setup,193,196,127,125,111315.0400,69013.7300,ativo,0.61998567
34509,E ANIME STORE,A,Setup,2,2,0,0,124.8000,0.0000,ativo,0E-8
35594,Mothelucci,A,Setup,53,56,42,40,2267.9500,1600.5700,ativo,0.70573425
35692,CASA DO CICLISTA,Setup,Cauda Longa,18,18,15,15,19512.0000,16230.0000,ativo,0.83179582
36143,Soneca e Cia,Setup,Cauda Longa,16,25,25,16,1625.8900,1625.8900,ativo,1.00000000
36562,TUTTI FRUTTI,Setup,Setup,4,4,4,4,518.4400,518.4400,ativo,1.00000000
36846,SZA COMERCIO,Setup,Cauda Longa,9,10,8,7,4112.9000,3215.0000,ativo,0.78168689
37210,TY Informatica,Setup,Cauda Longa,9,9,6,6,2464.1600,1703.0600,ativo,0.69113207
37388,ZANELLAONLINE,Setup,Cauda Longa,7,10,10,7,4155.1100,4155.1100,ativo,1.00000000
37628,Shop Variedades,Setup,Cauda Longa,37,42,27,22,4538.0300,2896.4500,ativo,0.63826154
13838,Brasil Tronic,AAA,Tecnologia,70,76,49,47,144065.1800,49277.9500,ativo,0.34205316
16969,Calumax,A,Cauda Longa,4,4,3,3,4374.2700,698.7800,ativo,0.15974780
17598,Milá,A,Cauda Longa,1,1,1,1,52.0000,52.0000,ativo,1.00000000
17895,MQ Hair,A,Cauda Longa,42,42,33,33,17555.8000,13556.7000,ativo,0.77220634
19094,MULTISOM,AAA,Tecnologia,47,53,38,36,36215.0300,29367.8800,ativo,0.81093071
22193,Soluza,A,Móveis,4,5,3,3,408.0400,312.0800,ativo,0.76482698
23654,FARMACIA DE BICHO,AAA,Cauda Longa,24,32,28,21,3558.8000,3158.9200,ativo,0.88763628
23676,AUDIO DISCOVERY,A,Cauda Longa,8,8,5,5,3376.5700,1646.9000,ativo,0.48774348
32509,TUDO PARA CABELEIREIRO,A,Cauda Longa,52,54,33,32,50292.9900,30505.0900,ativo,0.60654755
32562,Mormaii Oficial,A,Cauda Longa,14,14,8,8,3481.3000,1815.8400,ativo,0.52159825
34968,ViaSol,A,Setup,1,1,0,0,151.7000,0.0000,ativo,0E-8
36048,PEQUENAS COISAS,Setup,Cauda Longa,6,6,3,3,2263.5800,938.5900,ativo,0.41464848
37200,MOBILI DI CASA,Setup,Cauda Longa,72,72,50,50,32852.8000,21965.0000,ativo,0.66858837
37339,MSI COMERCIO ROUPAS E ACESSORIOS,Setup,Cauda Longa,2,2,2,2,93.0700,93.0700,ativo,1.00000000
40434,PERFUMARIA CRIS MACK,Setup,Cauda Longa,1,1,1,1,90.9900,90.9900,ativo,1.00000000
10760,ATP Store,A,Cauda Longa,4,4,4,4,648.4900,648.4900,ativo,1.00000000
14032,Takamine,A,Cauda Longa,4,4,3,3,678.6900,502.6900,ativo,0.74067689
14606,K SHOP,A,Cauda Longa,4,5,5,4,375.2100,375.2100,ativo,1.00000000
18169,I Love Brinquedos,A,Cauda Longa,1,1,1,1,220.7500,220.7500,ativo,1.00000000
19000,PORTAL DAS UTILIDADES,A,Cauda Longa,5,5,5,5,2708.1000,2708.1000,ativo,1.00000000
19995,D3 Equipamentos,A,Cauda Longa,34,41,34,30,26650.7500,24588.7600,ativo,0.92262919
20347,FRIP,A,Cauda Longa,1,1,1,1,93.2000,93.2000,ativo,1.00000000
25763,EUSEMAIS,AAA,Cauda Longa,4,4,3,3,344.2300,253.9500,ativo,0.73773349
25874,JC Kids,AAA,Cauda Longa,256,273,206,193,34029.1400,24212.4300,ativo,0.71152048
26824,O BROTO DE FLOR,A,Cauda Longa,1,1,1,1,429.4800,429.4800,ativo,1.00000000
31798,NUMISTORE,A,Cauda Longa,4,4,3,3,525.0000,382.0000,ativo,0.72761905
32033,Shopdragon,A,Tecnologia,11,11,9,9,2394.9900,1929.6100,ativo,0.80568604
32232,Completo Shop,AAA,Linha Branca,134,135,92,91,100409.7700,70552.5400,ativo,0.70264617
32678,RENASCENÇA GROUP,A,Cauda Longa,5,5,3,3,433.4000,260.0400,ativo,0.60000000
34500,MEGA SALDÃO,A,Cauda Longa,21,21,14,14,4272.1600,2791.4000,ativo,0.65339313
34748,RAZURE,A,Cauda Longa,1,1,1,1,168.0400,168.0400,ativo,1.00000000
35271,Loja das Mochilas,A,Cauda Longa,21,22,15,14,2653.3500,1916.4600,ativo,0.72227938
35902,LUTI RELOGIOS E PRESENTES,Setup,Setup,26,29,20,17,9661.7800,5733.8300,ativo,0.59345483
36190,DORA BELA MOVEIS,Setup,Cauda Longa,9,9,9,9,5259.0000,5259.0000,ativo,1.00000000
36251,Melhor opcao,Setup,Setup,12,17,16,11,1420.1900,1364.1400,ativo,0.96053345
37040,DAKO OFICIAL,Setup,Cauda Longa,911,918,654,650,1162551.1800,814012.2500,ativo,0.70019476
37044,UATT,Setup,Cauda Longa,1,1,1,1,57.5400,57.5400,ativo,1.00000000
37508,Vila Nerd,Setup,Cauda Longa,3,3,0,0,398.8800,0.0000,ativo,0E-8
37750,Shop da Mobilia,Setup,Cauda Longa,433,483,356,317,290662.1000,214609.8100,ativo,0.73834810
40115,ADONAI ESTOFADOS,Setup,Cauda Longa,76,96,65,53,45322.9400,31515.0100,ativo,0.69534346
41771,SAGETRONICS,Setup,Cauda Longa,17,20,16,13,4013.9000,3178.8000,ativo,0.79194798
41965,SYSTEM CENTER INFORMATICA,Setup,Cauda Longa,3,3,2,2,598.7600,417.4000,ativo,0.69710736
15930,Maval,A,Cauda Longa,1,1,1,1,177.7800,177.7800,ativo,1.00000000
17824,ROYAL PETS,AAA,Cauda Longa,744,853,698,608,80419.7000,65473.6100,ativo,0.81414890
18677,Utensilios do Chef,A,Cauda Longa,60,71,59,48,5774.6200,4521.1700,ativo,0.78293810
22101,Everest Magazine,A,Móveis,9,9,5,5,7494.0000,3623.4500,ativo,0.48351348
22264,PartiuCompras,AAA,Cauda Longa,111,129,60,52,14371.8300,6155.5700,ativo,0.42830802
22273,Conforto Baby,A,Cauda Longa,29,36,25,18,2269.2100,1539.2300,ativo,0.67831095
23844,Oraldent,A,Cauda Longa,4,7,6,3,309.8100,253.5100,ativo,0.81827572
30621,Kanstar,A,Cauda Longa,220,265,205,170,28652.7500,19838.4700,ativo,0.69237578
31863,Book 7,AAA,Setup,409,445,315,284,47427.6900,36397.2800,ativo,0.76742679
32627,ZUPO STORE,A,Linha Branca,54,54,30,30,286846.6000,161714.1300,ativo,0.56376520
33535,Kartu Digital,A,Cauda Longa,1,1,1,1,111.4900,111.4900,ativo,1.00000000
33836,ZONA CEREALISTA,A,Cauda Longa,60,96,75,39,2816.7100,1847.9300,ativo,0.65605973
34481,A+CICLO,A,Cauda Longa,3,3,2,2,273.6800,187.9900,ativo,0.68689711
34976,Tudo de Lar .,AAA,Cauda Longa,6703,7909,5641,4729,934304.2000,664864.5100,ativo,0.71161460
35453,FLIX MOBILE TECNOLOGIA E NEGOCIOS,A,Setup,36,39,37,34,3482.7300,3359.2200,ativo,0.96453644
35545,MAGAZINE ZWIPP,A,Setup,2,2,2,2,277.9600,277.9600,ativo,1.00000000
35776,RD MAGAZINE,Setup,Setup,14,15,4,4,9616.8500,2316.2000,ativo,0.24084809
35894,MeuNovoLar,Setup,Cauda Longa,7,11,10,6,5156.2600,4636.3600,ativo,0.89917110
36335,Nutreline,Setup,Cauda Longa,3,4,4,3,262.0700,262.0700,ativo,1.00000000
36561,Livre Adventure Store,Setup,Cauda Longa,78,79,38,38,11798.8100,5286.8700,ativo,0.44808502
36832,JORDHAN FACCAO LTDA,Setup,Cauda Longa,2,2,1,1,387.9000,168.9500,ativo,0.43555040
14385,Paramont,A,Cauda Longa,6,6,3,3,2851.8500,2382.7500,ativo,0.83551028
18461,I Need Acessórios,A,Tecnologia,2,2,2,2,76.9000,76.9000,ativo,1.00000000
20045,CasaH,A,Móveis,88,93,68,63,66551.0100,47292.1700,ativo,0.71061536
21129,Megatecshop,AAA,Tecnologia,91,94,56,55,134819.9100,65143.0500,ativo,0.48318568
21626,Borda Bordados Enxovais,A,Cauda Longa,111,127,79,68,11038.0500,6807.9500,ativo,0.61677108
27072,cabideiros e cia,A,Linha Branca,29,33,24,20,6435.1000,4674.9000,ativo,0.72646890
31571,CASADECK,A,Móveis,22,28,19,14,20722.3900,12544.7400,ativo,0.60537129
31972,Beleza Pink,A,Cauda Longa,20,22,15,14,10554.7600,7522.0800,ativo,0.71267182
33956,DEKI MÓVEIS,A,Cauda Longa,3,3,2,2,3073.2200,1937.4100,ativo,0.63041696
34214,MIRANTE BRASIL,A,Cauda Longa,15,16,12,11,2147.2000,1644.3800,ativo,0.76582526
34979,VIPCAPAS,Setup,Setup,66,68,56,54,6068.8500,5052.0600,ativo,0.83245755
36093,ESPORTE SAUDE,Setup,Setup,31,38,22,17,6956.2500,3973.8900,ativo,0.57126900
36232,NEW REV ARTIGOS DE BELEZA,Setup,Setup,809,826,560,545,320041.6800,217136.2200,ativo,0.67846232
36495,Faenza Shop,Setup,Cauda Longa,4,4,2,2,714.6100,393.2400,ativo,0.55028617
37002,Gladiador Malas,Setup,Cauda Longa,11,15,10,6,4636.4000,2490.3000,ativo,0.53711932
37381,MULT ARA,Setup,Cauda Longa,11,12,5,4,9422.8000,2813.1000,ativo,0.29854183
37805,MÓVEIS UNE,Setup,Cauda Longa,18,28,21,14,22430.4200,14126.1800,ativo,0.62977778
42133,ITI MALIA,Setup,Cauda Longa,1,1,1,1,45.2800,45.2800,ativo,1.00000000
11655,Esportes Camisa 10,A,Cauda Longa,3,3,2,2,573.6800,321.8600,ativo,0.56104448
14244,Olfer Calçados,A,Cauda Longa,1,1,1,1,93.7000,93.7000,ativo,1.00000000
15927,Madareli Comércio e Distribuição,A,Cauda Longa,32,48,44,29,2684.2300,2506.3800,ativo,0.93374264
18092,GlassCompany,A,Cauda Longa,2,2,2,2,738.0600,738.0600,ativo,1.00000000
21078,Montana Import,A,Cauda Longa,10,12,10,8,2822.8800,2480.4400,ativo,0.87869127
21264,Poemese,A,Cauda Longa,1,1,1,1,88.8100,88.8100,ativo,1.00000000
25570,Versare Anos Dourados,Setup,Cauda Longa,1,1,1,1,48.6400,48.6400,ativo,1.00000000
32894,Fácil Shopping,A,Cauda Longa,11,16,14,9,2473.9200,2160.0200,ativo,0.87311635
33551,LOJA HIPERELETRONICO,A,Tecnologia,54,61,42,35,4768.3800,3596.4800,ativo,0.75423519
33736,Bytetrade,A,Cauda Longa,62,63,43,42,43060.8900,26499.1900,ativo,0.61538881
33857,J P MAGAZINE,A,Cauda Longa,76,81,51,46,16181.2200,9505.7900,ativo,0.58745818
34743,TECLA CERTA,A,Cauda Longa,279,281,187,187,133341.5200,72897.4300,ativo,0.54669716
35832,Gama Italy,AAA,Setup,424,436,347,335,71330.5900,54421.9400,ativo,0.76295373
35891,COLLOR SHOP,Setup,Setup,1,2,2,1,625.5600,625.5600,ativo,1.00000000
36211,GO AUTOMACAO,Setup,Cauda Longa,3,3,3,3,3237.6100,3237.6100,ativo,1.00000000
36271,FUTURISTIC GAMES EIRELI,Setup,Cauda Longa,21,30,28,19,3163.4400,2926.2000,ativo,0.92500569
36763,PI-DIL CHEGOU,Setup,Cauda Longa,21,22,12,11,3729.0600,2441.3100,ativo,0.65467169
36839,Capsulas Verde Shop,Setup,Cauda Longa,42,54,39,28,7084.3400,4171.0400,ativo,0.58876903
36867,Alielar Store,Setup,Cauda Longa,7,8,8,7,4462.0000,4462.0000,ativo,1.00000000
37487,ALWE,Setup,Cauda Longa,3,3,2,2,519.4000,355.7000,ativo,0.68482865
43035,Mundo Pop,Setup,Cauda Longa,4,5,3,2,505.1000,306.8000,ativo,0.60740447
11658,Wishhouse,A,Móveis,45,62,59,42,28304.3400,26362.6000,ativo,0.93139780
14610,Dutra Máquinas,AAA,Cauda Longa,1723,1865,1380,1268,630551.6000,439146.1600,ativo,0.69644762
14970,RG518LOJA,A,Cauda Longa,3,3,1,1,521.9500,71.6100,ativo,0.13719705
15264,Tudo de Ferramentas,A,Cauda Longa,4,4,3,3,446.5800,399.4900,ativo,0.89455417
15473,COMERCIAL EDUAR,Setup,Setup,1,1,0,0,863.7300,0.0000,ativo,0E-8
16272,Petit Papillon,A,Cauda Longa,1,1,0,0,230.7000,0.0000,ativo,0E-8
16795,Mercado da beleza,A,Cauda Longa,4,5,5,4,299.6700,299.6700,ativo,1.00000000
